S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
197,bayashi.tiktok,バヤシ🥑Bayashi,33.6M,33600000,4.4M,4400000,492K,492000,2.6K,2600,786,786
198,bilalahy,Bilal,3.5M,3500000,2.2M,2200000,492K,492000,1.9K,1900,4.7K,4700
199,spicyycam_,Spice King,19.5M,19500000,4.2M,4200000,414.1K,414100,2.8K,2800,1.3K,1300
200,duythamchannel,Duy Thẩm,4M,4000000,5M,5000000,492.5K,492500,2.2K,2200,708,708
201,fedevigevani,Fede Vigevani,14.6M,14600000,4M,4000000,457.2K,457200,2.7K,2700,1.1K,1100
202,korectiion,Iam Cleo,390.5K,390500,3M,3000000,376.8K,376800,4.3K,4300,1.7K,1700
203,theovon,Theo Von,2.7M,2700000,3.1M,3100000,320.8K,320800,1.1K,1100,5.6K,5600
204,dafnnejm,dafnne ☻,3.8M,3800000,3.7M,3700000,667.9K,667900,1.4K,1400,1.3K,1300
205,boomershroomer,Ashley Enders,63.8K,63800,4.1M,4100000,286.4K,286400,2.4K,2400,3.2K,3200
206,abir.sag,Abir el saghir,14.7M,14700000,4.3M,4300000,302.8K,302800,2.8K,2800,2.3K,2300
207,iamprisleeciyi,Priscilla ◡̈,13.9K,13900,2.3M,2300000,522.9K,522900,1.2K,1200,4.2K,4200
208,mikaylahau,Mikaylah,4.9M,4900000,3.6M,3600000,313.5K,313500,4.6K,4600,1.1K,1100
209,ranboolive,Ranboo,4.3M,4300000,1.8M,1800000,414.8K,414800,7K,7000,1.6K,1600
210,fadiljaidi,Fadil Jaidi,8.7M,8700000,3.5M,3500000,390.7K,390700,2.9K,2900,1.8K,1800
211,diiegospyckerzs,Diiego Spyckerzs,808.5K,808500,2.8M,2800000,154.5K,154500,3K,3000,11.8K,11800
212,sonyakisa8,Cat Sonya,17.4M,17400000,3.5M,3500000,287.7K,287700,1K,1000,5.3K,5300
213,dbl_n,DBL N officiel 👑🔥🇹🇳,2.2M,2200000,3.6M,3600000,392.9K,392900,2.4K,2400,2.1K,2100
214,gavincasalegno,GavinCasalegno,3.2M,3200000,2.2M,2200000,394.7K,394700,5.3K,5300,1.9K,1900
215,gordeewa__13,gordeewa__13 :>,12.7M,12700000,5.4M,5400000,293.7K,293700,3.2K,3200,722,722
216,guide_smis,ไกค์ 'สมิท,275.7K,275700,13.1M,13100000,299.2K,299200,435,435,1.2K,1200
217,lucasmonteirosg,Lucas Monteiro,486.9K,486900,3.8M,3800000,469.4K,469400,1.8K,1800,1.7K,1700
218,dasigantung,Dasi Gantung,5.9M,5900000,4.6M,4600000,648.5K,648500,842,842,1.3K,1300
219,vanessalopesr,Vanessa Lopes,25.2M,25200000,3.4M,3400000,327.8K,327800,3.6K,3600,1.9K,1900
220,alexitoxedits,ALEX <3,2.9M,2900000,1.6M,1600000,467.1K,467100,3.9K,3900,4.4K,4400
221,bretmanrock,bretmanrock,14.4M,14400000,2.9M,2900000,599.9K,599900,2K,2000,1.4K,1400
222,brodywellmaker,Brody Wellmaker,21.6M,21600000,3M,3000000,430.3K,430300,3.6K,3600,1K,1000
223,jamescharles,James Charles,36.9M,36900000,4.2M,4200000,356.4K,356400,2.9K,2900,1.1K,1100
224,pablitocastilloo,pablitocastilloo,5.8M,5800000,2M,2000000,234.7K,234700,1.8K,1800,10.8K,10800
225,jindaouis,Louisa Jindaoui,2M,2000000,3.4M,3400000,492.2K,492200,1.6K,1600,1.9K,1900
226,readyfredi,fredi pärs,3.2M,3200000,1.6M,1600000,364K,364000,3.8K,3800,6.6K,6600
227,ive.official,IVE.official,3M,3000000,2.4M,2400000,355.6K,355600,4.1K,4100,2.7K,2700
228,hannahbahng,hannahbahng,2.4M,2400000,1.7M,1700000,479.4K,479400,5.8K,5800,1.3K,1300
229,realnikocadoavocado,Nikocado Avocado,1.7M,1700000,3.4M,3400000,131K,131000,6.9K,6900,6K,6000
230,_andrewcurtiss,Andrew Curtis,2.8M,2800000,2M,2000000,341.9K,341900,5.5K,5500,2.9K,2900
231,datvilla94,🔥Đạt Villa🔥,6.9M,6900000,2.7M,2700000,192K,192000,8.6K,8600,2.6K,2600
232,santiperezvivas,Santi Perez,1.8M,1800000,2.5M,2500000,418.3K,418300,1.8K,1800,3.8K,3800
233,sucss.s,Açucena Guirra,11.5M,11500000,3.2M,3200000,539.9K,539900,2.5K,2500,755,755
234,thalita_karter,thalitaKarter,3.9M,3900000,3.4M,3400000,200.2K,200200,1.2K,1200,6.9K,6900
235,davidcstt_,David Costa,5.3M,5300000,3.5M,3500000,480.5K,480500,1.9K,1900,1.4K,1400
236,strangehumano,nova,10.4M,10400000,3.8M,3800000,400.8K,400800,2.4K,2400,1.1K,1100
237,gregisms,Gregisms’ Neighborhood,2.4M,2400000,1.4M,1400000,235.8K,235800,4.3K,4300,12.3K,12300
238,matheuscllaus,CLAUS,5.4M,5400000,2.7M,2700000,340.1K,340100,2.3K,2300,3.7K,3700
239,halinhofficial,Ha Linh Official,2.7M,2700000,4.1M,4100000,346.5K,346500,2.4K,2400,1.4K,1400
240,kaan.etm,Kaan,3.3M,3300000,1.6M,1600000,411.5K,411500,3.4K,3400,4.7K,4700
241,nicocaponecomedy,nicocapone.comedy,23.1M,23100000,4.6M,4600000,317.3K,317300,1.4K,1400,2.3K,2300
242,aitch12,Aitch,2M,2000000,3.5M,3500000,351.4K,351400,2.1K,2100,2.3K,2300
243,kirbyquimado,Kirbyyy,187.9K,187900,2.1M,2100000,274.9K,274900,1.5K,1500,7.6K,7600
244,brycehall,Bryce Hall,22.7M,22700000,4.8M,4800000,497.8K,497800,1.5K,1500,711,711
245,straange_56guuuuy,aikihoruus?,5.9K,5900,1.5M,1500000,276.6K,276600,2.2K,2200,10.8K,10800
246,emillyvickof,Emilly Vick,12.1M,12100000,5.4M,5400000,444.8K,444800,1.4K,1400,799,799
247,datdo0803,Đỗ Đạt,7.6M,7600000,3.7M,3700000,368.2K,368200,2.6K,2600,1.1K,1100
248,darianrojasc,D A R I A NR O J A S,30.7M,30700000,3.3M,3300000,542.4K,542400,2.4K,2400,440,440
249,nicolassturniolo,Nicolas Sturniolo,3.3M,3300000,2.5M,2500000,412.1K,412100,4.4K,4400,582,582
250,ricardogaeta_,Ricardo Gaeta,737.8K,737800,2.1M,2100000,232K,232000,4.9K,4900,5.3K,5300
251,giovannibonaccinii_,G I O V A N N I🦋,858.3K,858300,2.2M,2200000,317.6K,317600,3K,3000,4.1K,4100
252,girlsgeneration.official,GirlsGeneration,783.5K,783500,2.7M,2700000,355.2K,355200,2.9K,2900,2.4K,2400
253,eupereiraoficial,Eu Pereira,7.8M,7800000,3.6M,3600000,395.7K,395700,1.3K,1300,2.1K,2100
254,sabrinacarpenter,Sabrina Carpenter,12.6M,12600000,3.2M,3200000,346.5K,346500,3.3K,3300,1.2K,1200
255,leymarbrown,Leymar Brown,633.9K,633900,2M,2000000,251.5K,251500,2.6K,2600,7.1K,7100
256,ferxxo444,Feid,3.5M,3500000,3.1M,3100000,381.7K,381700,1.5K,1500,2.6K,2600
257,itsqcp,QCP,10.8M,10800000,3.9M,3900000,529.1K,529100,1.4K,1400,948,948
258,tooturnttony,Tooturnttony,17.7M,17700000,3.7M,3700000,355.5K,355500,2.6K,2600,1.1K,1100
259,theodortytb,THEODORT,1.5M,1500000,2.6M,2600000,563.3K,563300,2.5K,2500,773,773
260,drewafualo,Drew Afualo,7.7M,7700000,2M,2000000,322.1K,322100,6.5K,6500,977,977
261,xoang_xa,maliha,917.6K,917600,2.1M,2100000,475K,475000,2.9K,2900,1.8K,1800
262,runabyte,Runa,949.4K,949400,2.1M,2100000,573.2K,573200,1.8K,1800,2.2K,2200
263,notshanebennett,Shane Bennett,2.6M,2600000,2.6M,2600000,589.4K,589400,1.2K,1200,1.9K,1900
264,shadisrour,Shadi Srour,2.2M,2200000,3.2M,3200000,196.4K,196400,2.3K,2300,5.2K,5200
265,ninonrambaud,Ninon Rambaud,123.5K,123500,4.1M,4100000,441.5K,441500,1.5K,1500,1.1K,1100
266,kyleechoi,Kylee Choi,19.8K,19800,1.8M,1800000,483.5K,483500,3K,3000,2.3K,2300
267,eljuandiduque,eljuandiduque,6.2M,6200000,1.8M,1800000,171.3K,171300,1.5K,1500,13.4K,13400
268,minami.0819,🦄💙MINAMI💙🦄,1.6M,1600000,2M,2000000,187.1K,187100,9.7K,9700,2.4K,2400
269,raredoodle,rare doodle,1.8M,1800000,3.2M,3200000,370.1K,370100,2.4K,2400,1.5K,1500
270,benyaparimm,BEN YAPARIM ! 🇹🇷,519.3K,519300,3.6M,3600000,186.1K,186100,1.5K,1500,5.2K,5200
271,thehypehouse,The Hype House,21.1M,21100000,3.2M,3200000,441.7K,441700,2.7K,2700,523,523
272,livvy,Olivia Dunne,5.9M,5900000,3.1M,3100000,397.9K,397900,2.3K,2300,1.4K,1400
273,choega,BEDDY,5.5M,5500000,2.1M,2100000,348.2K,348200,4.1K,4100,2K,2000
274,cerenyaldz,Ceren Yaldız,9.4M,9400000,4.4M,4400000,184.1K,184100,4.8K,4800,712,712
275,miichaelltran,Michael,6.5M,6500000,2.5M,2500000,442.7K,442700,2.3K,2300,1.8K,1800
276,dunkmvp,DunkMVP,3.5M,3500000,3.5M,3500000,405.7K,405700,1.4K,1400,1.8K,1800
277,jimena.jimenezr,Jimena,24.2M,24200000,3.3M,3300000,521.1K,521100,959,959,1.6K,1600
278,tangozilla,TANGOZILLA,280K,280000,2.2M,2200000,467.5K,467500,1.3K,1300,3K,3000
279,melfouad,Melfouad,1.3M,1300000,2.4M,2400000,209.4K,209400,2.1K,2100,6.6K,6600
280,t22felton,Tom Felton,10.1M,10100000,2.8M,2800000,303.5K,303500,3.1K,3100,2K,2000
281,bu_kre_sabi,Bu Kre Sabi⁉️,472.4K,472400,5.1M,5100000,255.2K,255200,659,659,2.6K,2600
282,lucasvarelaaaa,Lucas varela,2.9M,2900000,2M,2000000,282K,282000,810,810,6.7K,6700
283,mndiaye_97,mndiaye_97,15.1M,15100000,2.2M,2200000,443.7K,443700,2.5K,2500,1.9K,1900
284,jessechrisss,Jess,3.5M,3500000,8.9M,8900000,471K,471000,775,775,223,223
285,n.vv3,ناصر || 🇸🇦 alsubaie,4M,4000000,2.9M,2900000,149.6K,149600,2.3K,2300,7.4K,7400
286,tammyhembrow,Tammy Hembrow,1.7M,1700000,3.8M,3800000,429.5K,429500,1.3K,1300,1.3K,1300
287,jackjos3ph,Jack Joseph,3.2M,3200000,2.1M,2100000,323.1K,323100,2.5K,2500,3.8K,3800
288,paulo_victormelo2,Paulo Victor Melo,2.2M,2200000,4.7M,4700000,447.9K,447900,815,815,1.2K,1200
289,phatnail,Lê Đại Phát 🥑,1.4M,1400000,3.3M,3300000,333.9K,333900,3.2K,3200,583,583
290,straykids_japan,straykids_japan,8.1M,8100000,1M,1000000,344.9K,344900,7.6K,7600,3.9K,3900
291,fwm.kalebb,Kaleb,1.6M,1600000,2M,2000000,306.4K,306400,4.5K,4500,2.3K,2300
292,cookiepuentee,Cookie Puente🍪,686.1K,686100,1.4M,1400000,336.8K,336800,1.8K,1800,6.6K,6600
293,andy.and.michelle,Andy & Michelle,5M,5000000,2.6M,2600000,336.3K,336300,1.4K,1400,3.4K,3400
294,elpelaromerook,Gonzalo Romero,1.5M,1500000,1.4M,1400000,161.5K,161500,696,696,17.2K,17200
295,leaelui,Lea Elui,17.3M,17300000,3.9M,3900000,596.4K,596400,654,654,1.1K,1100
296,zeinabharake,Zeinab Harake,14.4M,14400000,3.5M,3500000,492.1K,492100,1.7K,1700,673,673
297,augustogimenez,AugustoGimenez,13.5M,13500000,4.1M,4100000,608.8K,608800,1K,1000,605,605
298,thefashioncouple,BUCKS&JANINA,3.6M,3600000,3.1M,3100000,189K,189000,6.6K,6600,303,303
299,ria_d3miri,ria_d3miri,3.1M,3100000,2.3M,2300000,270.9K,270900,4.9K,4900,1.5K,1500
300,brittikitty,Brittany & Lily,13.5M,13500000,3.1M,3100000,433.3K,433300,1.2K,1200,1.7K,1700
301,mieayamthebstt,Unaa🍜,16.2M,16200000,3.5M,3500000,275.5K,275500,2.5K,2500,1.5K,1500
302,cryingben,benoftheyear,1.6M,1600000,2M,2000000,442K,442000,3.7K,3700,764,764
303,keniaos,KeniaOs,15.4M,15400000,2M,2000000,341.8K,341800,4.1K,4100,1.5K,1500
304,okunonolife,nono,839.7K,839700,3M,3000000,318.2K,318200,1K,1000,2.9K,2900
305,camxnie,Cam & Nie,3.5M,3500000,1.9M,1900000,323.6K,323600,1K,1000,5.3K,5300
306,loewhaley,Laura,2.7M,2700000,2.5M,2500000,211.2K,211200,1K,1000,6.1K,6100
307,vicblends,VicBlends,13.2M,13200000,2.7M,2700000,523.9K,523900,1.8K,1800,836,836
308,meganfitton6,user3892932795857,8.7K,8700,2M,2000000,315.3K,315300,1.6K,1600,4.4K,4400
309,renpc_,✨Ren PC✨,4.8M,4800000,1.6M,1600000,339.3K,339300,1.6K,1600,5.3K,5300
310,christophersturniolo,Christopher Sturniolo,2.7M,2700000,1.6M,1600000,361.2K,361200,5K,5000,1.3K,1300
311,snoopdogg,Snoop Dogg,23.4M,23400000,3.7M,3700000,168.1K,168100,2.7K,2700,3.3K,3300
312,mdmotivator,Zachery Dereniowski,10.7M,10700000,3M,3000000,424.9K,424900,1.8K,1800,1K,1000
313,naimdarrechi,Naim Darrechi🏆,28.1M,28100000,2.3M,2300000,228.4K,228400,1.1K,1100,6K,6000
314,iamsungstarwin,Sungstarwin,2.2M,2200000,4.7M,4700000,651.9K,651900,653,653,532,532
315,kopke613,kopke613,4M,4000000,1.6M,1600000,222.1K,222100,3.3K,3300,6.9K,6900
316,esen_alva,Esen,4.4M,4400000,1.6M,1600000,328.2K,328200,1.1K,1100,5.8K,5800
317,grillervm,GrillerVM,3.1M,3100000,2.5M,2500000,371.2K,371200,1.3K,1300,2.6K,2600
318,jerellware,jerell ware,95.8K,95800,2.2M,2200000,433.9K,433900,1.5K,1500,2.3K,2300
319,jimmydarts,Jimmy Darts,8.9M,8900000,2.6M,2600000,506K,506000,2.1K,2100,643,643
320,vienvibi_899,Viên Vibi,7.5M,7500000,4M,4000000,375.8K,375800,2K,2000,394,394
321,noguidnce,NO GUIDNCE,2.2M,2200000,2.2M,2200000,430.6K,430600,2.1K,2100,1.8K,1800
322,lachama4_ff,LA CHAMA ᴰ,9.6M,9600000,2.7M,2700000,363K,363000,3.4K,3400,318,318
323,sonrixs_,Sonrixs,13.7M,13700000,4M,4000000,534.4K,534400,1K,1000,642,642
324,vincentgiganteee,Vincent Gigante,2.3M,2300000,2.1M,2100000,300.9K,300900,1.6K,1600,3.9K,3900
325,jerofreixas,jerofreixas,1.4M,1400000,1.9M,1900000,184.9K,184900,1.4K,1400,8.7K,8700
326,madamsoniia,Madam Sonia,3.6M,3600000,6.4M,6400000,474.6K,474600,635,635,509,509
327,cznburak,cznburak,63.6M,63600000,4.6M,4600000,228.4K,228400,2.3K,2300,978,978
328,la.maraaa,LA MARA,7.3M,7300000,2.9M,2900000,376.9K,376900,2.2K,2200,904,904
329,louvoresgospelbr,louvoresgospelbr,1.3M,1300000,1.9M,1900000,221.3K,221300,1.1K,1100,6.9K,6900
330,rucenuenda1,Ruce Nuenda,2.1M,2100000,3.3M,3300000,490.6K,490600,1.5K,1500,554,554
331,nourmar5,nourmar5,14.6M,14600000,1.8M,1800000,136.9K,136900,4.8K,4800,8.8K,8800
332,bebopandbebe,BebopandBebe,750.4K,750400,3.3M,3300000,127.2K,127200,7.6K,7600,354,354
333,daniimolalaa,Ladaniuu,499.9K,499900,2.4M,2400000,586.5K,586500,998,998,1.3K,1300
334,jaimeonod,Telma,1.8M,1800000,2M,2000000,296.1K,296100,3.8K,3800,1.8K,1800
335,starirawan,ssssttttaaaarrrr,550.3K,550300,1.8M,1800000,177.3K,177300,8.6K,8600,1.8K,1800
336,patriotickenny,patriotickenny,2.3M,2300000,2.1M,2100000,292.9K,292900,2K,2000,3.3K,3300
337,xxlechuga,Daniel Lechuga,5.3M,5300000,2.2M,2200000,476.1K,476100,1.2K,1200,1.9K,1900
338,manhtienkhoi_,Mạnh Tiến Khôi 🐯,4.6M,4600000,3M,3000000,276.4K,276400,2.6K,2600,1.3K,1300
339,itsjojosiwa,JoJo Siwa,43.5M,43500000,4.2M,4200000,422K,422000,1.4K,1400,399,399
340,ajkhiphop,kelil,36.5K,36500,4.6M,4600000,670.6K,670600,686,686,355,355
341,ustazebitlew,Ebit Lew,4.1M,4100000,1.9M,1900000,156.3K,156300,6.3K,6300,4.4K,4400
342,cedricgrolet,Cedric Grolet,1.3M,1300000,3.3M,3300000,251.8K,251800,1.1K,1100,2.7K,2700
343,danythegaggio,Daniele Cabras,3.2M,3200000,2M,2000000,217.2K,217200,2.3K,2300,5.2K,5200
344,dylanpage.ning,Dylan Page,3.1M,3100000,1.6M,1600000,239.4K,239400,5.4K,5400,3K,3000
345,mastermind_ph,Mastermind PH,2.1M,2100000,2.6M,2600000,273K,273000,2.1K,2100,2.3K,2300
346,maluborgesm,MALU BORGES,2.9M,2900000,1.9M,1900000,280.4K,280400,4.8K,4800,1K,1000
347,vito.video,Vito 🌍🚴‍♂️,1.9M,1900000,2.2M,2200000,340K,340000,2K,2000,2.2K,2200
348,frnzlynfby,Feby,3.7M,3700000,1.9M,1900000,361K,361000,2.6K,2600,2K,2000
349,carolvillanes,Carol Villanes,6.3M,6300000,2M,2000000,294.7K,294700,4.8K,4800,467,467
350,mariabecerra_22,Maria Becerra,8.3M,8300000,2.7M,2700000,388.3K,388300,2.2K,2200,712,712
351,onerepublic,OneRepublic,691.7K,691700,2.8M,2800000,323K,323000,955,955,2.5K,2500
352,ngikuttrendaja,Ahmad Rizki,192.8K,192800,3.7M,3700000,304.5K,304500,1.5K,1500,1.2K,1200
353,flickerspark_,flickerspark_,1.2M,1200000,2.1M,2100000,516.8K,516800,1.4K,1400,1.5K,1500
354,cvsthetico,cvstage,168.2K,168200,2.3M,2300000,313.1K,313100,2.5K,2500,1.8K,1800
355,yahia_x,يحيى الزعبي,2.2M,2200000,4M,4000000,189.9K,189900,1K,1000,3.1K,3100
356,jennialarcon_,Jenni Alarcon,3.1M,3100000,2M,2000000,348.4K,348400,2.5K,2500,1.9K,1900
357,airiiqtieeee,inoue`,53.1K,53100,1.8M,1800000,321.3K,321300,2.7K,2700,2.6K,2600
358,officialsunnydaze,SUNNY DAZE,1.6M,1600000,3.1M,3100000,495.3K,495300,844,844,1.2K,1200
359,los_chicaneros,Los_chicaneros,3.7M,3700000,1.9M,1900000,218.2K,218200,1.2K,1200,6.1K,6100
360,videoschapin,VideosChapin,56K,56000,2.9M,2900000,78.8K,78800,2.7K,2700,10.6K,10600
361,wuesilva,Wue Silva,13.1M,13100000,4.1M,4100000,283.4K,283400,1.2K,1200,1.4K,1400
362,ladygaga,ladygaga,7.6M,7600000,1.9M,1900000,247.5K,247500,4.4K,4400,2K,2000
363,cx_.q,مصطفى البصراوي 62,3.3M,3300000,3.1M,3100000,254K,254000,2.3K,2300,1.5K,1500
364,mitsy270,mitsy,2.3M,2300000,1.9M,1900000,338.3K,338300,2.7K,2700,2.1K,2100
365,ayesebastien,Sebastien,7.2M,7200000,2M,2000000,396.5K,396500,2.1K,2100,1.8K,1800
366,karljacobs,Karl,11.2M,11200000,1.9M,1900000,486.5K,486500,2.6K,2600,563,563
367,liltjay,Lil Tjay,5.2M,5200000,1.9M,1900000,291.9K,291900,3.9K,3900,1.4K,1400
368,irenehsuu,Irene,98.6K,98600,1.4M,1400000,401.7K,401700,1.3K,1300,3.9K,3900
369,doctormiguelpadilla,Doctor Miguel,5.9M,5900000,2.1M,2100000,321.7K,321700,1.7K,1700,2.6K,2600
370,jacobday,Jacob Day,5.6M,5600000,1.8M,1800000,296.6K,296600,4.4K,4400,1K,1000
371,louflores_,Lou flores,2.8M,2800000,2.2M,2200000,237.1K,237100,842,842,4.7K,4700
372,pakoyaso_,Pakoyaso,12.8M,12800000,3.2M,3200000,282.6K,282600,1.2K,1200,2K,2000
373,ella.tchella,Tchella,2M,2000000,1.6M,1600000,381.6K,381600,1.5K,1500,3.4K,3400
374,nashvibes,NashVibes Art,3.7M,3700000,4.4M,4400000,365.5K,365500,1.3K,1300,493,493
375,jamesdroz566,jamesdroz5661,103.4K,103400,1.9M,1900000,155.4K,155400,2.2K,2200,7.4K,7400
376,egyptianbeaman,egyptianbeaman,872.4K,872400,2.2M,2200000,80.5K,80500,1.7K,1700,14.2K,14200
377,mattiastanga,Mattia Stanga,2.7M,2700000,1.5M,1500000,213.4K,213400,1.4K,1400,7.4K,7400
378,gorillaz,Gorillaz,2.3M,2300000,1.8M,1800000,340.9K,340900,2.8K,2800,1.7K,1700
379,lonely.moods,:),354.5K,354500,815.5K,815500,214K,214000,5.4K,5400,10.6K,10600
380,rayanfahmi,Rayoon,3.7M,3700000,2.9M,2900000,235.9K,235900,2.8K,2800,1.2K,1200
381,melmaia,Mel Maia 🍯,11.8M,11800000,3.5M,3500000,473.9K,473900,988,988,662,662
382,vietduongg_,Viet,161.2K,161200,1.2M,1200000,129.7K,129700,12.7K,12700,4.8K,4800
383,leen_mohd98,LEEN🌸,3.8M,3800000,2.9M,2900000,190.1K,190100,2.7K,2700,2.3K,2300
384,jubiandxian,jubiandxian,5.7M,5700000,2.5M,2500000,396.2K,396200,1.8K,1800,934,934
385,adrianbliss,Adrian Bliss,7.3M,7300000,2.3M,2300000,413.3K,413300,1.1K,1100,1.7K,1700
386,dxddy._.desi,Desiree Montoya❤️,2.9M,2900000,1.9M,1900000,250.8K,250800,4.9K,4900,764,764
387,frankielapenna,Frankie LaPenna,4.8M,4800000,2.7M,2700000,295.2K,295200,1.4K,1400,2K,2000
388,xxxten1369,XXXTENTACION,3.7M,3700000,2.8M,2800000,335.1K,335100,1K,1000,1.8K,1800
389,softbulletgun97,Tik Toker,1.3M,1300000,2.3M,2300000,188.3K,188300,2.2K,2200,4.1K,4100
390,katiessigmond,katie sigmond,6.9M,6900000,2.9M,2900000,340K,340000,1.1K,1100,1.6K,1600
391,nnatalieaguilar,natalie & the aguilars,4.9M,4900000,3.4M,3400000,558.8K,558800,568,568,825,825
392,elchimbatv,EL CHIMBA,3.3M,3300000,3M,3000000,285.2K,285200,773,773,2.4K,2400
393,deiveleonardooficial,Deive Leonardo,6.1M,6100000,1.3M,1300000,139.3K,139300,370,370,14.2K,14200
394,vitoou,vito•_•,52.4K,52400,1M,1000000,179.3K,179300,3.3K,3300,10.9K,10900
395,twice_tiktok_official,TWICE,17.9M,17900000,1.3M,1300000,325.5K,325500,3.7K,3700,2.5K,2500
