Tiktoker,influencer name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
mandrake1984real,Giuseppe Mandrake Ninno,1.1M,1100000,1.4M,1400000,185.9K,185900,1.4K,1400,7K,7000
manhtienkhoi_,Máº¡nh Tiáº¿n KhÃ´i ğŸ¯,3.5M,3500000,1.6M,1600000,198.4K,198400,2K,2000,961,961
manta_ec,Manta_ec,102.5K,102500,6.1M,6100000,179.6K,179600,1.3K,1300,3.5K,3500
margaritadebarros,Margarita De Barros,75.6K,75600,10.9M,10900000,620.5K,620500,870,870,1.5K,1500
mariabecerra_22,Maria Becerra,6.8M,6800000,3.2M,3200000,528.2K,528200,2.1K,2100,1.2K,1200
marialuciap29,LÃºcia,1.9M,1900000,2M,2000000,434.6K,434600,3.1K,3100,1.6K,1600
marianna_alexandre,Marianna Alexandre,5.8M,5800000,2.1M,2100000,338.7K,338700,1.2K,1200,314,314
marianne.la.mesera,Marianne ğŸ¸,3M,3000000,4.7M,4700000,962.9K,962900,1.3K,1300,684,684
marilynl19,user1692838440296,995.2K,995200,2.8M,2800000,476.5K,476500,5.7K,5700,12.8K,12800
mariolcalderon,Mario Calderon,1.8M,1800000,815.8K,815800,141.1K,141100,3.9K,3900,12.5K,12500
marsaimartin,Marsai,3.4M,3400000,1.6M,1600000,355K,355000,2.5K,2500,1.2K,1200
marshelwidianto,Marshel Widianto,2M,2000000,3M,3000000,208.5K,208500,1.1K,1100,1.3K,1300
marshmellomusic,marshmello,25.7M,25700000,1.8M,1800000,245.8K,245800,1.4K,1400,577,577
marwanwsahar,MarwanwSahar,1.4M,1400000,2.5M,2500000,163.5K,163500,710,710,2.2K,2200
mas_nizar,IG: nizar_abzhr31,5.2M,5200000,1.8M,1800000,322.1K,322100,2.6K,2600,630,630
mateus_hwang,Mateus Hwang,1.9M,1900000,1.9M,1900000,136.8K,136800,5.8K,5800,2.6K,2600
matheusevitoriaofc,Matheus e Vitoria,7.6M,7600000,2.8M,2800000,468.9K,468900,1.4K,1400,1.3K,1300
mativelasco94,Mati Velasco,1.7M,1700000,5.1M,5100000,392.2K,392200,2.2K,2200,622,622
matsudake,M2DK/ãƒãƒ„ãƒ€å®¶ã®æ—¥å¸¸,5.7M,5700000,6.8M,6800000,284.5K,284500,3.3K,3300,1K,1000
matt.larose,Matt Larose,498.8K,498800,2.6M,2600000,371K,371000,910,910,223,223
mattiastanga,Mattia Stanga,2.5M,2500000,1.5M,1500000,240.7K,240700,2.4K,2400,7.7K,7700
mattstonie,Matt Stonie,2.6M,2600000,2.3M,2300000,322.9K,322900,1K,1000,285,285
mattsturniolo,Matt,2.1M,2100000,1.9M,1900000,386.2K,386200,4.8K,4800,938,938
mauoteroo,Mau Otero,4.3M,4300000,3.3M,3300000,349.2K,349200,353,353,345,345
max7424453118,Max Taylor,2.8M,2800000,3.5M,3500000,572.6K,572600,5.2K,5200,9.5K,9500
mayapolarbear,mayapolarbear,5.5M,5500000,1.5M,1500000,154.9K,154900,756,756,8.4K,8400
maymayentrata,maymay,9M,9000000,5.3M,5300000,697.9K,697900,2.9K,2900,2K,2000
mckekell,kekel,3.9M,3900000,1.5M,1500000,154.3K,154300,4.1K,4100,2.5K,2500
mcsilsiloficial,@mcsilsiloficial,6.6M,6600000,1.7M,1700000,134.1K,134100,2.2K,2200,6.3K,6300
mdmotivator,Zachery Dereniowski,9.3M,9300000,5.1M,5100000,930.3K,930300,3.4K,3400,1.4K,1400
meghanandjack,ğŸŒ»Meg and JackğŸŒ»,4.1M,4100000,1.7M,1700000,277.7K,277700,548,548,2.4K,2400
mell_editz0,é¬¼ â€¢ ğ† ğ ğ‰ ğ,480.5K,480500,1.5M,1500000,229.9K,229900,1.5K,1500,1.1K,1100
mellacarli,Mella Carli,2M,2000000,1.8M,1800000,283.7K,283700,1.4K,1400,6K,6000
mementoe,MÃ¡tÃ© MÃ©hÃ©sz,3.6M,3600000,3.4M,3400000,588.5K,588500,4.4K,4400,5.8K,5800
meowbahh,Meowbah!,1.5M,1500000,2.5M,2500000,92.4K,92400,17.2K,17200,2K,2000
meowlife7,meowlife7,1.9M,1900000,3.3M,3300000,399K,399000,1.3K,1300,3.9K,3900
mexicocookingclub,Calixto Serna,10.9M,10900000,1.7M,1700000,221.9K,221900,1.1K,1100,7.1K,7100
miakhalifa,Mia K.,33.6M,33600000,8.6M,8600000,938.7K,938700,2.5K,2500,1.3K,1300
michaelrendyw,Michael Rendy W,6.2M,6200000,4.6M,4600000,324.8K,324800,806,806,746,746
michou_yt,Michou,7M,7000000,1.5M,1500000,272.7K,272700,1.8K,1800,574,574
midnightmood_oficial,Midnight Mood,15M,15000000,1.5M,1500000,145.6K,145600,443,443,5.2K,5200
mieayamthebstt,UnaağŸœ,14.3M,14300000,5.5M,5500000,582.8K,582800,4.5K,4500,2.6K,2600
mikaylanogueira,Mikayla Nogueira,12.8M,12800000,1.9M,1900000,246.7K,246700,1.8K,1800,403,403
miketoks,Miketoks,12.9M,12900000,1.9M,1900000,261.2K,261200,1.1K,1100,654,654
miketyson,Mike Tyson,3.1M,3100000,2.5M,2500000,331.4K,331400,5.8K,5800,1.7K,1700
milliyormlenlaew,MILLI,5.5M,5500000,5.9M,5900000,807.2K,807200,1.5K,1500,1.8K,1800
milos.guzel,Milos,5M,5000000,1.7M,1700000,340.3K,340300,1.1K,1100,612,612
mimiermakeup,Mirta Miler,15.9M,15900000,2.3M,2300000,339K,339000,1.2K,1200,254,254
minami.0819,ğŸ¦„ğŸ’™MINAMIğŸ’™ğŸ¦„,1.4M,1400000,995.2K,995200,114.1K,114100,7.8K,7800,778,778
missionaryjack,Jack Harlow,5.4M,5400000,4.4M,4400000,745.2K,745200,9.1K,9100,9K,9000
mix_151,Mix_151,1.3M,1300000,3.3M,3300000,268.1K,268100,2.9K,2900,4.3K,4300
mmmjoemele,Joe Mele,22.1M,22100000,9.1M,9100000,1.5M,1500000,3.6K,3600,3.4K,3400
mndiaye_97,mndiaye_97,14.8M,14800000,2.8M,2800000,495.3K,495300,3.1K,3100,2.2K,2200
moanabih,A really basic TikTok page,808.2K,808200,2.1M,2100000,647.5K,647500,1.9K,1900,2K,2000
mohaimen.alaa,Ù…Ù‡ÙŠÙ…Ù† Ø¹Ù„Ø§Ø¡,3.5M,3500000,1.5M,1500000,205.3K,205300,1.9K,1900,1.4K,1400
mohanadrafal,Ù…Ù‡Ù†Ø¯ Ø±ÙÙ„familyğŸˆ,994.8K,994800,12.4M,12400000,265.2K,265200,3.4K,3400,8.4K,8400
moneybagyo85,YouTube king von 1,55.1K,55100,4.4M,4400000,216.1K,216100,680,680,244,244
montpantoja,Montpantoja,34M,34000000,5.7M,5700000,931.1K,931100,3.7K,3700,2.4K,2400
morimura,MoriMurağŸ•,7.2M,7200000,3M,3000000,564.6K,564600,2.2K,2200,2.1K,2100
moritabritos,moriiiğŸ–¤,1.2M,1200000,2.7M,2700000,719.4K,719400,4.1K,4100,6.2K,6200
mowgli.j,Mowgli,3M,3000000,1.6M,1600000,282.6K,282600,4.3K,4300,1.6K,1600
mr.benz,Mr. Benz,4.5M,4500000,2.2M,2200000,254.2K,254200,2.1K,2100,2.6K,2600
mrbeast,MrBeast,37.5M,37500000,4.3M,4300000,570.5K,570500,5.8K,5800,1.4K,1400
mrizkybillar,Rizky Billar,5.3M,5300000,3.7M,3700000,334.7K,334700,4.6K,4600,2.8K,2800
mrstiventc1977,MrStivenTc,6.2M,6200000,2.4M,2400000,288.6K,288600,1.9K,1900,979,979
mscathygonzaga,Alex Gonzaga,7.2M,7200000,2.7M,2700000,328.7K,328700,616,616,403,403
mttiwx,Matt-,321.1K,321100,1.6M,1600000,310.1K,310100,3.6K,3600,2.2K,2200
munchy_monk,Louie,897.7K,897700,1.3M,1300000,283.6K,283600,3.9K,3900,1.6K,1600
muslimoffcial0,ğŸ”¥Muslim - Ù…Ø³Ù„Ù…,3M,3000000,2.3M,2300000,256.7K,256700,2.2K,2200,1.1K,1100
mythical_bubbles,Mythical Bubble,133.5K,133500,1.1M,1100000,221.3K,221300,2.8K,2800,2.9K,2900
n0dd,Ø§ÙŠÙ†Ø¹Ù… Ø³Ù„Ø·Ø§Ù†  | SuLTAN,3.8M,3800000,1.6M,1600000,241.3K,241300,3.5K,3500,713,713
nada_m7amed,Ø¯ÙˆØ¯Ø§ğŸ¦¹ğŸ»ğŸ¤,6.2M,6200000,3.5M,3500000,272.2K,272200,2.8K,2800,2.1K,2100
namyulenka,Namy,6.5M,6500000,3M,3000000,467.5K,467500,3K,3000,1.6K,1600
naomineo,Naomi,1.5M,1500000,2.9M,2900000,614.6K,614600,1.3K,1300,1.7K,1700
naomineo,Naomi,1.5M,1500000,2.9M,2900000,614.6K,614600,1.3K,1300,1.7K,1700
nasyakailanazifa,Nasya Kaila Nazifah,2.8M,2800000,4.2M,4200000,173.2K,173200,1.7K,1700,1.1K,1100
nathcampost,NATH CAMPOS,1.7M,1700000,5.6M,5600000,871.8K,871800,1.5K,1500,991,991
nazormaya,Maya Nazor,5M,5000000,5.7M,5700000,538.1K,538100,1.6K,1600,393,393
ndn2307,NgÃ´ ÄÃ¬nh NamğŸ’¦,5.5M,5500000,2.6M,2600000,242.3K,242300,1.4K,1400,172,172
nelkboys,NELKBOYS,4.1M,4100000,3.4M,3400000,314.1K,314100,1.8K,1800,7.3K,7300
nessaabarrett,Ness,18.5M,18500000,9M,9000000,791.2K,791200,3.8K,3800,3K,3000
ngikuttrendaja,Ahmad Rizki,192.8K,192800,3.7M,3700000,304.5K,304500,1.5K,1500,1.2K,1200
ngoc.matcha,Ngá»c Matcha â˜˜ï¸,3.9M,3900000,1.5M,1500000,255.4K,255400,2.4K,2400,723,723
niallmacmillan,Niall MacMillan,3.1M,3100000,2M,2000000,149.7K,149700,886,886,1.8K,1800
nianaguerrero,Niana Guerrero,32.1M,32100000,6.5M,6500000,1.1M,1100000,4.1K,4100,2.6K,2600
nick.digiovanni,nick.digiovanni,8.9M,8900000,2.1M,2100000,300K,300000,750,750,591,591
nickschmiiid,Nick Schmid,769.7K,769700,1.1M,1100000,250.2K,250200,1.3K,1300,2.4K,2400
nickvannsmith,Nick Smith,9.4K,9400,1.2M,1200000,269.8K,269800,2.5K,2500,9.9K,9900
nicocaponecomedy,nicocapone.comedy,21.7M,21700000,13.3M,13300000,720.7K,720700,5.6K,5600,33.2K,33200
nicolecherry,nicolecherry,1.1M,1100000,1.7M,1700000,178.7K,178700,1.4K,1400,5.6K,5600
nicoletv,Kayla Nicole,10.6M,10600000,4.6M,4600000,872.4K,872400,1.7K,1700,2.6K,2600
nicollefigueroaa,Nicolle Figueroa,11M,11000000,6.9M,6900000,889.8K,889800,2.9K,2900,1.4K,1400
nilered,NileRed,9.7M,9700000,2.8M,2800000,456.7K,456700,2.1K,2100,825,825
njr11njr,njr11njr,1.2M,1200000,1.8M,1800000,228.8K,228800,3.8K,3800,2.1K,2100
nmixx_official,NMIXX,1.9M,1900000,1.5M,1500000,378.3K,378300,3.9K,3900,1.5K,1500
noahschnapp,Noah Schnapp,23.7M,23700000,23.6M,23600000,4.9M,4900000,44.2K,44200,16K,16000
nobodysausage,nobody sausage,15.6M,15600000,1.9M,1900000,117.6K,117600,934,934,3.9K,3900
noeldeyzel_bodybuilder,Noel Deyzel,4.7M,4700000,2.3M,2300000,287.9K,287900,1.6K,1600,1.3K,1300
nolaymex,Nolay,54.9K,54900,4.4M,4400000,342.8K,342800,3.5K,3500,8.4K,8400
norinpham_m4,NorinPham,2.2M,2200000,2.7M,2700000,279.5K,279500,3.9K,3900,366,366
nosoychaparro,Luis Chaparro,5.4M,5400000,7.3M,7300000,1.4M,1400000,3.9K,3900,5.2K,5200
nost___,Nost,451K,451000,3.4M,3400000,195K,195000,726,726,902,902
notshanebennett,Shane Bennett,2.1M,2100000,2.7M,2700000,394.5K,394500,1K,1000,1.2K,1200
nubiegriffi,NubieGriffi,130.8K,130800,4.3M,4300000,378.5K,378500,2K,2000,13.3K,13300
nurbolat_football7,nurbolat_football,23.5K,23500,2.2M,2200000,132.8K,132800,2K,2000,4.3K,4300
nurse.johnn,Jc Dela Cruz,1.9M,1900000,2.5M,2500000,272.5K,272500,1.1K,1100,4.1K,4100
nvran_,ğŸ˜º,538.5K,538500,3.4M,3400000,341.4K,341400,1.5K,1500,30.3K,30300
nyx.lynnx,Nyx,202.6K,202600,1.6M,1600000,155.5K,155500,1.8K,1800,1.4K,1400
obj,Odell Beckham Jr.,1.5M,1500000,3.6M,3600000,447.2K,447200,1.6K,1600,2.9K,2900
odintsoov,ĞĞ½Ğ´Ñ€ĞµĞ¹ ĞĞ´Ğ¸Ğ½Ñ†Ğ¾Ğ²,324.3K,324300,1.5M,1500000,370.8K,370800,2.5K,2500,4K,4000
official_kep1er,Kep1er,4.3M,4300000,4M,4000000,805K,805000,6.1K,6100,3.5K,3500
official_nct,NCT Official,8.3M,8300000,1.1M,1100000,296.5K,296500,2.8K,2800,1.3K,1300
official_wayv,WayV Official,3.8M,3800000,702.7K,702700,251.7K,251700,6.2K,6200,1.7K,1700
officialjadenwilliams,Jaden Williams,1.5M,1500000,1.7M,1700000,405K,405000,2K,2000,2.1K,2100
officialsalicerose,Salice Rose,19M,19000000,951.4K,951400,188K,188000,1.6K,1600,2.9K,2900
ogikdp,Zona Ogik | YT MELLO PROJECT,3M,3000000,4.2M,4200000,354.3K,354300,3.6K,3600,966,966
ogulcan,OÄŸulcan AÅŸÄ±koÄŸlu,287.1K,287100,3.3M,3300000,227.9K,227900,1.9K,1900,3.3K,3300
oironyoliveira,Kbuloso ğŸ˜ˆ,6.2M,6200000,1.3M,1300000,89.7K,89700,329,329,7.3K,7300
okjackok,jack,1.1M,1100000,1.4M,1400000,322.3K,322300,875,875,1.1K,1100
oldtimehawkey,Old Time Hawkey,5.8M,5800000,4.6M,4600000,814K,814000,7K,7000,5.2K,5200
oli_natu,Oli Natu,9.1M,9100000,2.8M,2800000,437.9K,437900,777,777,1.1K,1100
olisboa,LISBOA,2.3M,2300000,2.8M,2800000,522.2K,522200,1.2K,1200,1.8K,1800
oliver6060,Queen cheryl ğŸ‘¸,2.8M,2800000,1.6M,1600000,67.1K,67100,6.7K,6700,1.9K,1900
oma_abi_reaktions,Oma Abi ğŸ‘µğŸ»,16.3K,16300,1.4M,1400000,104.7K,104700,2K,2000,4.9K,4900
ongsquad,Ong Squad,8M,8000000,2.7M,2700000,304.8K,304800,1.2K,1200,807,807
onlyjayus,Bella Avila,18M,18000000,1.7M,1700000,291.3K,291300,1.8K,1800,758,758
onwardwanna,WannağŸ¥Š,5.7M,5700000,8.7M,8700000,1.7M,1700000,15.3K,15300,4.4K,4400
oscar_mezar,Oscar Meza,5.7M,5700000,2.6M,2600000,449.4K,449400,1.7K,1700,1.6K,1600
otakoyakisoba,otakoyakisoba,14.8M,14800000,2.1M,2100000,240.1K,240100,966,966,1.4K,1400
outofcontextcontent,"1 , 2 0 0 , 0 0 0 LEGENDS",1.2M,1200000,8.6M,8600000,776.9K,776900,2.3K,2300,9.3K,9300
outtpig,OuttPig,1.9M,1900000,1.7M,1700000,543.8K,543800,2.6K,2600,2.2K,2200
ox_zung,ì›ì •ë§¨ WonJeong,45M,45000000,1.9M,1900000,258.3K,258300,2.3K,2300,564,564
paansih16,gustian_magrib,1.1M,1100000,3.6M,3600000,291.1K,291100,1.4K,1400,31.5K,31500
pablitocastilloo,pablitocastilloo,5.2M,5200000,1.3M,1300000,138.2K,138200,857,857,5.1K,5100
pacodemiguel,Paco De Miguel,6.7M,6700000,771.2K,771200,109.9K,109900,2K,2000,7.3K,7300
pakoyaso_,Pakoyaso,10.6M,10600000,2.8M,2800000,378.2K,378200,1.5K,1500,3K,3000
paloma.cedeno,Paloma CedeÃ±o,578.6K,578600,1.8M,1800000,289.6K,289600,5K,5000,18.8K,18800
pam_a_cake,Pam,4.3M,4300000,2.3M,2300000,390.4K,390400,1.1K,1100,146,146
pamibabyy,pami â™¡,7.2M,7200000,1.7M,1700000,288.9K,288900,679,679,1.3K,1300
papurriyluisito,PapurriYluisito,814K,814000,1.3M,1300000,209.4K,209400,684,684,2.3K,2300
paralympics,paralympics,2.1M,2100000,2.2M,2200000,228.4K,228400,4.3K,4300,2.8K,2800
parishilton,ParisHilton,6.3M,6300000,2.1M,2100000,201.6K,201600,1.7K,1700,1.1K,1100
parkerlocke,Parker Locke,6.4M,6400000,3M,3000000,634.3K,634300,8K,8000,8.5K,8500
patrickrenna,Patrick Renna,2.9M,2900000,3.2M,3200000,248.5K,248500,1.8K,1800,3.5K,3500
paulablanca143,Paula Blanca,58K,58000,2.7M,2700000,145.3K,145300,8.1K,8100,23K,23000
paulo_victormelo2,Paulo Victor Melo,1.7M,1700000,2.9M,2900000,186.7K,186700,706,706,1.5K,1500
paulomuzy,paulomuzy,1.3M,1300000,1.5M,1500000,182.4K,182400,909,909,13.6K,13600
paupelaez_,Êœá´€É´á´‡á´ÉªÊá´€,6M,6000000,2.9M,2900000,496.7K,496700,3.6K,3600,1K,1000
payton,â€œpaytonâ€,15.2M,15200000,1.2M,1200000,241.9K,241900,2.3K,2300,1.3K,1300
paytonking,Payton King,5.2M,5200000,4.9M,4900000,1.1M,1100000,8.7K,8700,10.1K,10100
peaks.100_,Peaks100,1M,1000000,1.6M,1600000,172.3K,172300,1.9K,1900,1.4K,1400
pedro.loc,Pedro Loc,203.6K,203600,2.8M,2800000,384.8K,384800,3K,3000,2.7K,2700
peetmontzingo,Peet Montzingo,10.4M,10400000,2.4M,2400000,266.6K,266600,1.3K,1300,500,500
pegamangaa,Pegamangaa,1.9M,1900000,2M,2000000,242.4K,242400,704,704,1.4K,1400
pepperonimuffin,Kirsten,7.3M,7300000,3.8M,3800000,688.1K,688100,1.4K,1400,524,524
pete_pamana,petepamana,2.7M,2700000,2.9M,2900000,307.2K,307200,1.6K,1600,801,801
phamvinh99,Pháº¡m Vinh,2.7M,2700000,2.8M,2800000,224.8K,224800,1.4K,1400,913,913
phatnail,LÃª Äáº¡i PhÃ¡t ğŸ¥‘,1.3M,1300000,2.9M,2900000,190.9K,190900,2.4K,2400,238,238
phun.anh,PhÃ¹n Anh,3.6M,3600000,3M,3000000,271.6K,271600,2K,2000,735,735
pietro_storti,pietro.storti,400.7K,400700,1M,1000000,141.6K,141600,1.6K,1600,5.8K,5800
piperrockelle,â™¥ï¸Piper Rockelleâ™ ï¸,9.5M,9500000,1.7M,1700000,173.2K,173200,4.3K,4300,389,389
pkllipe,Pk,17.7M,17700000,2.1M,2100000,378.7K,378700,1.7K,1700,2.1K,2100
pollywogcabin,Jake Valois,149.6K,149600,1.4M,1400000,134.6K,134600,664,664,11.8K,11800
polya_tuti,ĞŸĞ¾Ğ»Ñ Ñ‚ÑƒÑ‚ğŸ”¥ğŸ‘‡,2.3M,2300000,3.1M,3100000,250.6K,250600,711,711,730,730
pongamoslo_a_prueba,PongÃ¡moslo a Prueba,34.2M,34200000,11.2M,11200000,1.7M,1700000,4.1K,4100,3.5K,3500
popokbolong,PARHANCUK!,2.6M,2600000,1.5M,1500000,276.9K,276900,1.6K,1600,806,806
posterised,Posterised,4.1M,4100000,10.1M,10100000,1.3M,1300000,3.6K,3600,3.9K,3900
pr4nce,gabriel prince,2.6M,2600000,1.6M,1600000,267.1K,267100,3.5K,3500,2.5K,2500
priimoraa,Prii Moraa,15M,15000000,3M,3000000,525.9K,525900,840,840,880,880
priv_mav,MAV ğŸ¦¦,5.3M,5300000,2.7M,2700000,334K,334000,524,524,686,686
psg,psg,27.9M,27900000,2.6M,2600000,271.5K,271500,1.5K,1500,497,497
pureojuice,NO OPPS OUT ON ALL PLATFORMS,168.3K,168300,1.1M,1100000,186.1K,186100,3.3K,3300,3.7K,3700
qamar_altaey,ğ“†©ğ‘„ğ´ğ‘€ğ´ğ‘…Â¹â¶ğ“†ª,3.2M,3200000,5.8M,5800000,517.2K,517200,12.2K,12200,11.6K,11600
qpark,Q Park,32M,32000000,12.4M,12400000,1.1M,1100000,6.4K,6400,19.1K,19100
queen_paul,â­ï¸ğŸ’„Queen PaulğŸ’„â­ï¸,3.1M,3100000,3.2M,3200000,78.9K,78900,3.1K,3100,950,950
qvos,RupthyğŸ¡ (Roblox),1.9M,1900000,1.5M,1500000,157.1K,157100,4.2K,4200,2.2K,2200
rad.miru,ğŸŒœĞ ĞĞ”ĞœĞ˜Ğ ğŸŒ›,12M,12000000,3.7M,3700000,298.2K,298200,1.1K,1100,294,294
rafaellatuma,Rafaella Tuma,1.2M,1200000,1.5M,1500000,146K,146000,1.4K,1400,12.6K,12600
rafaelsantos,Rafael Santos,17.9M,17900000,2.4M,2400000,548K,548000,2.7K,2700,1.1K,1100
rafifrasyaq,rafif,74.7K,74700,1.6M,1600000,221.8K,221800,1.8K,1800,4.1K,4100
rah_money1,General ock,3.1M,3100000,1.7M,1700000,231.5K,231500,1.5K,1500,1.4K,1400
rakib_hossain_vlogs,Rakib Hossain,1.2M,1200000,1.3M,1300000,139.6K,139600,4.1K,4100,1.1K,1100
ramonvitor,ramonvitor,4.4M,4400000,3.9M,3900000,821.6K,821600,2.9K,2900,1.3K,1300
ratuauliaa22,ratuauliatp,12.6M,12600000,2.5M,2500000,304.1K,304100,1.9K,1900,1K,1000
rawwwash,Mostafa Abo Rawash,1.2M,1200000,7.1M,7100000,370.6K,370600,2.1K,2100,3.7K,3700
rayanfahmi,Rayoon,3.3M,3300000,2.4M,2400000,221.2K,221200,1.2K,1200,921,921
rayssabuq,Rayssa Buq,6.1M,6100000,1.5M,1500000,252.2K,252200,2K,2000,761,761
readyfredi,fredi,2.3M,2300000,7.5M,7500000,1.4M,1400000,19K,19000,32.1K,32100
real_animasinopal,Animasinopal,1.5M,1500000,2.5M,2500000,309.6K,309600,1K,1000,3.1K,3100
realmadrid,Real Madrid C.F.,17.7M,17700000,2.8M,2800000,403.2K,403200,2.6K,2600,2.3K,2300
renpc_,âœ¨Ren PCâœ¨,4.1M,4100000,1.9M,1900000,349.7K,349700,1.8K,1800,6.4K,6400
reyyhaan31,Reyyhaan!,4.4M,4400000,2.8M,2800000,213.5K,213500,1K,1000,409,409
riaricis,Ria Ricis,27.4M,27400000,2.9M,2900000,276.7K,276700,1.1K,1100,1.2K,1200
richcaroline,Caroline Ricke,3.1M,3100000,1.6M,1600000,308.2K,308200,669,669,1.4K,1400
rickylemon99,Ricky Limon,11.6M,11600000,3.5M,3500000,394.8K,394800,549,549,366,366
rita_pubg,Ø±ÙŠØªØ§ Ø§Ù„Ø¹Ø±Ø§Ù‚ÙŠØ©,1.6M,1600000,1.4M,1400000,135.7K,135700,7.5K,7500,1.5K,1500
robert_kelley,Robert Rausch,780.5K,780500,1.4M,1400000,280K,280000,1.4K,1400,2K,2000
roblox,Roblox,8.8M,8800000,1.5M,1500000,239.6K,239600,5.9K,5900,1.5K,1500
rosalia,La Rosalia,20.8M,20800000,3.3M,3300000,445.1K,445100,2.1K,2100,992,992
rubentuestaok,Ruben Tuesta,15.6M,15600000,4.9M,4900000,568.1K,568100,1.4K,1400,4K,4000
rucenuenda1,Ruce Nuenda,1.6M,1600000,2.1M,2100000,332.5K,332500,1.4K,1400,740,740
